Iteracion,Tiempo_Ejecucion,Envios_Total,Envios_Asignados,Envios_Fallidos,Pct_Asignados,Costo_Solucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,4368,1495,1495,0,100.00,9838.00,590280.00,1854.13,5.85
2,4021,1495,1495,0,100.00,9931.00,595860.00,1491.80,5.13
3,4212,1495,1495,0,100.00,9831.00,589860.00,1574.77,5.23
4,4130,1495,1495,0,100.00,9919.00,595140.00,1558.40,5.05
5,4165,1495,1495,0,100.00,9847.00,590820.00,3050.61,5.12
6,3995,1495,1495,0,100.00,9819.00,589140.00,1825.53,5.20
7,4010,1495,1495,0,100.00,9573.00,574380.00,1861.15,5.01
8,3969,1495,1495,0,100.00,9757.00,585420.00,1864.25,4.94
9,4083,1495,1495,0,100.00,9745.00,584700.00,1858.94,5.09
10,3967,1495,1495,0,100.00,9816.00,588960.00,1854.81,5.02
