Iteracion,Tiempo_Ejecucion,Envios_Total,Envios_Asignados,Envios_Fallidos,Pct_Asignados,Costo_Solucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,6860,2527,2527,0,100.00,16442.00,986520.00,2644.08,5.45
2,6819,2527,2527,0,100.00,16702.00,1002120.00,3200.91,5.19
3,6775,2527,2527,0,100.00,16505.00,990300.00,2324.10,5.11
4,6420,2527,2527,0,100.00,16636.00,998160.00,2386.94,5.03
5,6500,2527,2527,0,100.00,16472.00,988320.00,1601.46,4.98
6,6796,2527,2527,0,100.00,16440.00,986400.00,1803.69,5.23
7,6394,2527,2527,0,100.00,16532.00,991920.00,2458.38,5.12
8,6473,2527,2527,0,100.00,16342.00,980520.00,2440.22,5.08
9,6447,2527,2527,0,100.00,16498.00,989880.00,2349.79,5.06
10,6667,2527,2527,0,100.00,16343.00,980580.00,1574.36,4.99
