Iteracion,Tiempo_Ejecucion,Envios_Total,Envios_Asignados,Envios_Fallidos,Pct_Asignados,Pct_Entregas_Tiempo,Costo_Solucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,575283,2222,2222,0,97.66,100,0.077327,1870987,222.61,96.34
2,556732,2222,2222,0,97.66,100,0.077327,1870987,217.9,95.28
3,553161,2222,2222,0,97.66,100,0.077327,1870987,288.01,95.33
4,531514,2222,2222,0,97.66,100,0.077327,1870987,249.79,95
5,538502,2222,2222,0,97.66,100,0.077327,1870987,99.37,95.27
6,573869,2222,2222,0,97.66,100,0.077327,1870987,276.34,96.03
7,546885,2222,2222,0,97.66,100,0.077327,1870987,145.41,95.56
8,560922,2222,2222,0,97.66,100,0.077327,1870987,168.75,95.1
9,547263,2222,2222,0,97.66,100,0.077327,1870987,194.37,95.27
10,553294,2222,2222,0,97.66,100,0.077327,1870987,219.04,95.08
