Iteracion,Tiempo_Ejecucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,50057,2191,105.73,99.09
2,50538,2191,93.23,98.45
3,49604,2191,106.22,98.33
4,49901,2191,120.02,98.8
5,49155,2191,132.04,98.89
6,49484,2191,144.11,98.91
7,49626,2191,74.76,98.68
8,49414,2191,171.33,98.89
9,48119,2191,100.3,98.75
10,49326,2191,111.38,98.97
