Iteracion,Tiempo_Ejecucion,Envios_Total,Envios_Asignados,Envios_Fallidos,Pct_Asignados,Pct_Entregas_Tiempo,Costo_Solucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,208839,1313,1313,0,95.96,100,0.082444,2191,25.56,4.4
2,199700,1313,1313,0,95.96,100,0.082444,2191,32.52,4.35
3,215813,1313,1313,0,95.96,100,0.082444,2191,80.68,4.63
4,189358,1313,1313,0,95.96,100,0.082444,2191,57.03,4.78
5,175516,1313,1313,0,95.96,100,0.082444,2191,32.49,4.82
6,178760,1313,1313,0,95.96,100,0.082444,2191,22.88,4.84
7,199065,1313,1313,0,95.96,100,0.082444,2191,32.5,4.88
8,204719,1313,1313,0,95.96,100,0.082444,2191,32.54,4.78
9,192136,1313,1313,0,95.96,100,0.082444,2191,66.5,4.83
10,188143,1313,1313,0,95.96,100,0.082444,2191,36.45,4.81
