Iteracion,Tiempo_Ejecucion,Envios_Total,Envios_Asignados,Envios_Fallidos,Pct_Asignados,Pct_Entregas_Tiempo,Costo_Solucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,114263,1313,1313,0,95.96,100,0.082444,2191,25.53,4.98
2,113576,1313,1313,0,95.96,100,0.082444,2191,19.02,4.99
3,113019,1313,1313,0,95.96,100,0.082444,2191,101.11,4.89
4,115733,1313,1313,0,95.96,100,0.082444,2191,31.66,4.95
5,114505,1313,1313,0,95.96,100,0.082444,2191,88.42,4.93
6,112340,1313,1313,0,95.96,100,0.082444,2191,15.57,4.96
7,107917,1313,1313,0,95.96,100,0.082444,2191,81.41,4.94
8,110115,1313,1313,0,95.96,100,0.082444,2191,15.56,4.93
9,94430,1313,1313,0,95.96,100,0.082444,2191,88.43,4.95
10,102530,1313,1313,0,95.96,100,0.082444,2191,88.39,4.95
