Iteracion,Tiempo_Ejecucion,Envios_Total,Envios_Asignados,Envios_Fallidos,Pct_Asignados,Pct_Entregas_Tiempo,Costo_Solucion,Tiempo_Entrega,Consumo_Memoria,Consumo_CPU
1,1076596,1495,1495,0,100.00,100.00,7.434783,666900.00,1751.55,4.74
2,1153621,1495,1495,0,100.00,100.00,7.480268,670980.00,2169.52,4.73
3,1284088,1495,1495,0,100.00,100.00,7.470234,670080.00,1526.09,4.56
4,1193294,1495,1495,0,100.00,100.00,7.444816,667800.00,1230.85,4.82
5,1196726,1495,1495,0,100.00,100.00,7.472910,670320.00,1479.56,4.81
6,1181313,1495,1495,0,100.00,100.00,7.447492,668040.00,2155.68,4.79
7,864922,1495,1495,0,100.00,100.00,7.465552,669660.00,2103.27,4.79
8,662587,1495,1495,0,100.00,100.00,7.464883,669600.00,1692.85,5.46
9,650732,1495,1495,0,100.00,100.00,7.441472,667500.00,1710.00,4.76
10,660122,1495,1495,0,100.00,100.00,7.440134,667380.00,1862.05,5.79
