Tama̱o,Pasada,Ejecucion,TiempoEjecucionMs,UsoMemoriaMB,UsoCPU,TiempoTotalEntregaMin
10,1,1,577,129.16955184936523,97.48700173310225,7317
10,1,2,404,108.42821502685547,100.5569306930693,7317
10,1,3,613,86.42164993286133,99.40864600326265,7317
10,1,4,631,147.6294288635254,96.5729001584786,7317
10,1,5,546,42.28996276855469,100.16025641025641,7317
10,1,6,626,103.84000015258789,99.84025559105432,7317
10,1,7,595,165.4000587463379,94.53781512605042,7317
10,1,8,545,59.316795349121094,86.0091743119266,7317
10,1,9,595,122.01848602294922,99.78991596638656,7317
10,1,10,510,99.63089370727539,94.97549019607843,7317
10,1,11,595,78.0055923461914,97.16386554621849,7317
10,1,12,607,139.3721809387207,97.8171334431631,7317
10,1,13,473,34.09516143798828,102.40486257928119,7317
10,1,14,589,96.36194610595703,100.80645161290323,7317
10,1,15,568,158.16868591308594,101.7825704225352,7317
10,1,16,508,51.1665153503418,95.3494094488189,7317
10,1,17,566,113.31658554077148,99.38162544169612,7317
10,1,18,578,175.66542434692383,100.02162629757785,7317
10,1,19,557,68.2767333984375,98.18222621184918,7317
10,1,20,589,130.48431777954102,95.50084889643463,7317
10,1,21,340,108.38504409790039,96.50735294117648,7317
10,1,22,574,87.38442611694336,97.99651567944251,7317
10,1,23,579,149.16324615478516,99.84887737478411,7317
10,1,24,519,43.644142150878906,96.33911368015414,7317
10,1,25,574,105.06609725952148,100.71864111498259,7317
10,1,26,585,166.26222610473633,101.49572649572649,7317
10,1,27,518,59.18766784667969,96.52509652509652,7317
10,1,28,573,121.68891525268555,95.44066317626528,7317
10,1,29,500,99.6573600769043,100.0,7317
10,1,30,585,77.18630599975586,101.49572649572649,7317
10,2,1,616,137.9245262145996,96.38798701298701,6406
10,2,2,424,31.61181640625,103.18396226415094,6406
10,2,3,571,91.68709945678711,98.51138353765324,6406
10,2,4,566,151.6063232421875,96.62102473498233,6406
10,2,5,509,42.49274444580078,98.23182711198429,6406
10,2,6,567,102.70576477050781,96.4506172839506,6406
10,2,7,563,162.78545761108398,97.13587921847247,6406
10,2,8,509,54.66961669921875,95.16208251473476,6406
10,2,9,549,114.8509521484375,99.61293260473589,6406
10,2,10,564,175.07129669189453,99.7340425531915,6406
10,2,11,545,66.04293441772461,100.3440366972477,6406
10,2,12,616,127.08739852905273,96.38798701298701,6406
10,2,13,474,103.71232223510742,102.18881856540085,6406
10,2,14,608,80.1062126159668,97.65625,6406
10,2,15,601,140.05918502807617,98.7936772046589,6406
10,2,16,442,33.27418518066406,95.44683257918552,6406
10,2,17,591,93.30154800415039,95.17766497461929,6406
10,2,18,752,153.2967300415039,99.7340425531915,6406
10,2,19,812,44.389854431152344,98.13731527093597,6406
10,2,20,909,104.61028289794922,97.97854785478548,6406
