Tama̱o,Pasada,TiempoEjecucionMs,UsoMemoriaMB,UsoCPU,TiempoTotalEntregaMin,PctEntregasATiempo
10,1,724,42.235347747802734,94.9585635359116,7317,1.0
10,2,496,39.20802307128906,97.65625,6406,1.0
10,3,553,64.50935363769531,98.89240506329115,7943,1.0
30,1,3372,128.38412475585938,97.77209371293,21884,1.0
30,2,2454,85.5651741027832,94.87061939690301,22807,1.0
30,3,3184,76.70804214477539,90.78596105527639,22282,1.0
50,1,6470,111.3502426147461,92.49420401854714,36470,1.0
50,2,7194,88.41180419921875,92.30782596608285,39350,1.0
50,3,7737,96.8407096862793,94.10947395631382,35852,1.0
